Pressure (bar),10.1002chem.200902144.Isotherm5.json,10.1016j.ces.2011.09.009.isotherm2.json,10.1016j.memsci.2011.09.040.Isotherm1.json,10.1021/acs.jced.1c00900-manual addition,10.1021acs.jpcc.5b01519.Isotherm13.json,10.1021acs.jpcc.5b01519.Isotherm14.json,10.1021acs.jpcc.5b01519.Isotherm15.json,10.1021acs.jpcc.5b01519.Isotherm16.json,10.1021acs.jpcc.5b01519.Isotherm17.json,10.1021acs.jpcc.5b01519.Isotherm18.json,10.1021acs.jpcc.5b01519.Isotherm19.json,10.1021acs.jpcc.5b01519.Isotherm20.json,10.1021acs.jpcc.5b01519.Isotherm21.json,10.1021jp206959k.Isotherm5.json,Consensus_Mean_mmol_g,Consensus_Std_mmol_g,Consensus_SEM_mmol_g,Consensus_CI_Lower_mmol_g,Consensus_CI_Upper_mmol_g
0.01,,0.007784320258071274,0.006593055828611108,,0.006758294948056293,0.006758294948056293,0.006988507374819849,0.007139080773893804,0.006474645353487501,0.010122090429785145,0.007791210670413623,0.007838244914071072,0.008653798738727406,,0.007277945380820822,0.0006696461990330222,0.00021176072154187943,0.006798909347773707,0.007756981413867937
0.011942771623577339,,0.009295412422292712,0.007870973402439436,,0.00807035247203776,0.00807035247203776,0.00833017063014053,0.008524735899227281,0.0077316715100384644,0.011935932955145974,0.009300353904929058,0.009354373557263112,0.010246970867753577,,0.008679536713815968,0.0007821397171730416,0.0002473342954746724,0.008120027665688466,0.00923904576194347
0.01426297940529241,,0.01109956039599518,0.009396035148152501,,0.009636923552940083,0.009636923552940083,0.009927263458547745,0.01017905337222756,0.009232551553989292,0.014063548180721131,0.011100993444555592,0.01116263381448238,0.012125863603092589,,0.010349780189692301,0.0009123333629137172,0.00028850514121683384,0.009697136217968408,0.011002424161416195
0.017033950570919415,,0.013253481680077485,0.011215828202250073,,0.011507290616887796,0.011507290616887796,0.011827718747874102,0.01215400589116448,0.011024510294317355,0.016556396888091313,0.013249124135641326,0.013318905407224413,0.014339685958036499,,0.012339784155036133,0.0010628295185435225,0.00033609620430576954,0.011579481719057762,0.013100086591014503
0.02034325815157954,,0.01582482170689307,0.013387023007284742,,0.01374024171903351,0.01374024171903351,0.014088239098449872,0.014511571682067048,0.01316388401055258,0.01947368978920955,0.015811381356826814,0.015889608978967698,0.01694558600037307,,0.014710259927948194,0.0012366387994545832,0.0003910595249212673,0.013825621822545228,0.01559489803335116
0.024295488618379237,,0.01889423872464092,0.015977076967409368,,0.016405888387313793,0.016405888387313793,0.01677582882144496,0.01732564067916133,0.015717864062315717,0.022883389572627415,0.018867019629197058,0.018953641081634914,0.020009792598713418,,0.017533287933914527,0.0014372885332963744,0.00045451054200593003,0.016505113655723113,0.01856146221210594
0.029015547205252575,,0.02255787776357833,0.019066246204478842,,0.019587824539050377,0.019587824539050377,0.01996957026962903,0.020684275588681772,0.018766568127342738,0.026863303652741786,0.022510242883251888,0.022604645068063228,0.023608885711192098,,0.02089439606943187,0.0016689827233772475,0.0005277786781342852,0.01970047775228873,0.02208831438657501
0.03465260538054592,,0.026930302626466555,0.02274995677296851,,0.023385687690043132,0.023385687690043132,0.02376267592718844,0.024692390480650275,0.022405498081492167,0.03150226647126274,0.026852942744395848,0.02695366918133737,0.02783120042453268,,0.02489500116191181,0.0019368395460671716,0.0006124824427858881,0.023509469616841337,0.026280532706982284
0.04138481522218072,,0.032147965492461246,0.027141593560643013,,0.027918193480022908,0.027918193480022908,0.028264849192669826,0.029474919173767253,0.026748453076637497,0.03690140738812908,0.032027907864259256,0.032132268341554276,0.03277836742578709,,0.029655271108782532,0.0022472431900058716,0.0007106406936721092,0.028047690173376563,0.0312628520441885
0.049424939688245136,,0.03837330531789938,0.03237577219567389,,0.033326725391103686,0.033326725391103686,0.03360498737688469,0.035180556150353544,0.031930976979868256,0.04317549672280986,0.038192573798524324,0.03829611079975323,0.03856698915513444,,0.03531747225562991,0.002608359990025801,0.0008248358526135607,0.033451563923461276,0.03718338058779854
0.05902707672057954,,0.04579957849559401,0.03861216626421145,,0.03977957329655652,0.03977957329655652,0.03993425965560197,0.04198616382980846,0.03811443089912607,0.05045435831280684,0.04553338868704964,0.045629154381400513,0.04533044639507254,,0.04204987352009777,0.003030883075148131,0.0009584493839123374,0.03988171038104738,0.04421803665914816
0.07049468968812597,,0.054656537709676406,0.04603996849461007,,0.04747692684383972,0.04747692684383972,0.047429589989330785,0.05010195131532412,0.045490793779648694,0.05888433201039901,0.05427087425626556,0.054348458667099996,0.05322082435275038,,0.05005128522523854,0.0035290820217103672,0.0011159937238156552,0.047526732029208735,0.05257583842126834
0.08419019796202405,,0.06521708678123075,0.05488306951179014,,0.05665674210463238,0.05665674210463238,0.05629756962978754,0.05977754050224321,0.054288306535979214,0.06862976383601654,0.06466546333647087,0.06470969804376955,0.06241094025790028,,0.05955631588084363,0.004122238720331235,0.0013035663415184552,0.05660744394412215,0.06250518781756512
0.10054643072042194,,0.07780504925496198,0.06540604019443165,,0.06760161151832954,0.06760161151832954,0.06677881489711507,0.0713090445866367,0.06477808708623208,0.07987449508056307,0.07702419264061974,0.07701343461541994,0.0730964460302926,,0.07084143323423689,0.004836540368491147,0.0015294483559782095,0.06738158068054535,0.07430128578792843
0.12008030596598399,,0.09280419457803313,0.07792100202011942,,0.08064677651033354,0.08064677651033354,0.07915277239269498,0.0850472898634423,0.07728185371404206,0.09282331458259367,0.09170832091747533,0.0916121975394526,0.0854979696202495,,0.08423191536661764,0.005707468997393447,0.0018048601706560914,0.08014903800361789,0.0883147927296174
0.1434091670641038,,0.11066866509860918,0.09279546192896587,,0.0961894271674228,0.0961894271674228,0.09374295451523544,0.10140731180265987,0.09218090047796175,0.107703330843324,0.10914192503306568,0.10891839396365434,0.09986324721992718,,0.10010977143749249,0.006782675904913743,0.0021448704490271077,0.09525773738783172,0.10496180548715325
0.17127029309740407,,0.1319349356477509,0.11046117133113816,,0.11469943090464756,0.11469943090464756,0.11092256175889338,0.12087924724342024,0.10992646808830513,0.1247652127980304,0.1298214965171904,0.1294130432909375,0.11646918580854572,,0.11892269714954766,0.008125275534060757,0.0025694377304073027,0.1131102251831992,0.12473516911589612
0.2045441996365451,,0.1572354094011691,0.1314240392245701,,0.13673161774575718,0.13673161774575718,0.13112041342672487,0.14404072128183107,0.13105164271631214,0.14428424023140657,0.15432651420284663,0.1536552772803525,0.1356237816869003,,0.14119410347122213,0.009817467760911254,0.0031045558979752937,0.13417111010913638,0.1482170968333079
0.2442824663186669,,0.18731370116763588,0.15627508228200618,,0.16293971750851755,0.16293971750851755,0.15482706379183142,0.1715707834324847,0.15618488789834986,0.16656109738701239,0.18333089940639527,0.18229247922361783,0.1576678061877339,,0.16753421384070902,0.011964428039790852,0.003783484350692276,0.15897537761624408,0.17609305006517395
0.29174097068880617,,0.22304157172024994,0.18570232445135879,,0.1940919854661618,0.1940919854661618,0.18260092532869432,0.2042653741483151,0.18606526325949627,0.19192233674297102,0.21761516239296522,0.21607084145443622,0.18297615521380267,,0.19865215889016424,0.014698487523832914,0.004648069873488046,0.18813749433240692,0.20916682344792156
0.3484195786177183,,0.2654373407022628,0.22050345830505277,,0.23108845685615767,0.23108845685615767,0.21507415386667322,0.2430541885135756,0.22155929781718456,0.22072043475297243,0.2580789158008763,0.2558459970967513,0.2119587454509263,,0.23536890112656184,0.018183712552349535,0.005750194798321827,0.22236105677573173,0.24837674547739194
0.4161095456614457,,0.3156854041014197,0.2615989425146849,,0.2749796226876569,0.2749796226876569,0.2529579726801474,0.28901863490415997,0.2636793516878412,0.253333358193879,0.3057532554355495,0.3025932252644607,0.24506082803375584,,0.2786306859997333,0.022621020004324015,0.007153394620989585,0.2624485831191397,0.29481278888032686
0.4969501274225172,,0.3751561952991765,0.310045026684443,,0.3269861020891576,0.3269861020891576,0.29704702519628134,0.34341034615085264,0.3136031013354805,0.2901635592700006,0.3618122856808568,0.35741653666801315,0.28276258131114673,,0.3295225302504566,0.02825389577942896,0.008934666343601386,0.30931091078356726,0.3497341497173459
0.5934961880114781,,0.4454255343303048,0.3670459595656941,,0.3885185794127505,0.3885185794127505,0.34822225252620376,0.4076693711579819,0.3726935001792928,0.33163632045635555,0.42758279289892015,0.42155571985192913,0.3255778395364669,,0.38928101288722944,0.03537462925697117,0.011186439983605868,0.36397552755147794,0.41458649822298094
0.7087989432884801,,0.52829178713452,0.4339643454207839,,0.46119685541510613,0.46119685541510613,0.40745169808636006,0.4834407384839143,0.44251817651995684,0.378197376836144,0.5045507483001676,0.4963901735857385,0.3740518152736605,,0.4593053193635314,0.04433077191480099,0.014018620968419496,0.42759299552648455,0.4910176432005783
0.8465023906727264,,0.625788590298215,0.5123282676634474,,0.5468663106863175,0.5468663106863175,0.4757885556757849,0.572587527168778,0.5248667131418133,0.43030975492352935,0.594362963675308,0.5834380827970588,0.4287576815564986,,0.5411651003349539,0.05553129748392336,0.017560538147357536,0.5014404031813364,0.5808897974885714
1.010958473061661,,,0.6038334101133497,,,,,,,,,,,,0.6038334101133497,0.0,0.0,0.6038334101133497,0.6038334101133497
1.2073646164695884,,,,,,,,,,,,,,,,,,,
1.441927988088433,,,,,,,,,,,,,,,,,,,
1.722061665938451,,,,,,,,,,,,,,,,,,,
2.0566189198020037,,,,,,,,,,,,,,,,,,,
2.456173007592366,,,,,,,,,,,,,,,,,,,
2.93335132976707,,,,,,,,,,,,,,,,,,,
3.5032345023124996,,,,,,,,,,,,,,,,,,,
4.183832960495482,,,,,,,,,,,,,,,,,,,
4.996656155839299,,,,,,,,,,,,,,,,,,,
5.967392335073063,,,,,,,,,,,,,,,,,,,
7.126720384606345,,,,,,,,,,,,,,,,,,,
8.511279397844687,,,,,,,,,,,,,,,,,,,
10.16482660729179,,,,,,,,,,,,,,,,,,,
12.139620276414835,,,,,,,,,,,,,,,,,,,
14.49807125581711,,,,,,,,,,,,,,,,,,,
17.314715399057476,,,,,,,,,,,,,,,,,,,
20.67856917381813,,,,,,,,,,,,,,,,,,,
24.69594291452561,,,,,,,,,,,,,,,,,,,
29.493800625708243,,,,,,,,,,,,,,,,,,,
35.22377251841557,,,,,,,,,,,,,,,,,,,
42.0669470908277,,,,,,,,,,,,,,,,,,,
50.23959420068661,,,,,,,,,,,,,,,,,,,
60.0,,,,,,,,,,,,,,,,,,,
