Pressure(bar),Loading(mmol/g)
0.01,0.002663325
0.011942772,0.003180068
0.014262979,0.003796965
0.017033951,0.004533391
0.020343258,0.005412456
0.024295489,0.006461719
0.029015547,0.007714043
0.034652605,0.009208602
0.041384815,0.010992082
0.04942494,0.013120111
0.059027077,0.015658945
0.07049469,0.01868747
0.084190198,0.022299574
0.100546431,0.026606942
0.120080306,0.031742359
0.143409167,0.037863593
0.171270293,0.04515796
0.2045442,0.053847668
0.244282466,0.064196054
0.291740971,0.076514841
0.348419579,0.091172523
0.416109546,0.108604022
0.496950127,0.129321686
0.593496188,0.153927728
0.708798943,0.183128073
0.846502391,0.217747521
1.010958473,0.251835889
1.207364616,0.303831956
1.441927988,0.361289257
1.722061666,0.4291802
2.05661892,0.509198748
2.456173008,0.603220533
2.93335133,0.713276867
3.503234502,0.841501475
4.18383296,0.990039283
4.996656156,1.160905546
5.967392335,1.355784922
7.126720385,1.575766198
8.511279398,1.821022119
10.16482661,2.090467637
12.13962028,2.381462264
14.49807126,2.689653258
17.3147154,3.009064794
20.67856917,3.265608328
24.69594291,3.575998113
29.49380063,3.871724227
35.22377252,4.146318367
42.06694709,4.524296217
50.2395942,4.706734644
60,4.855163894
